State,State/Tribal/Other Agency,Unit/Office,"Total law
enforcement
employees","Total
officers","Total
civilians"
,,Orangeburg County,4,4,0
,,Pickens County,8,7,1
,,Richland County,84,44,40
,,Saluda County,3,3,0
,,Spartanburg County,4,4,0
,,Sumter County,4,4,0
,,Union County,3,3,0
,,Williamsburg County,4,4,0
,,York County,5,3,2
,Department of Public Safety,Illegal Immigration Enforcement Unit,7,7,0
,Forestry Commission: ,Aiken County,1,1,0
,,Anderson County,2,1,1
,,Bamberg County,1,1,0
,,Barnwell County,1,1,0
,,Berkeley County,1,1,0
,,Chesterfield County,3,3,0
,,Colleton County,1,1,0
,,Darlington County,2,2,0
,,Fairfield County,1,1,0
,,Florence County,2,2,0
,,Georgetown County,1,1,0
,,Horry County,1,1,0
,,Kershaw County,1,1,0
,,Lexington County,4,4,0
,,Marlboro County,1,1,0
,,Newberry County,1,1,0
,,Oconee County,1,1,0
,,Pickens County,1,1,0
,,Richland County,1,1,0
,,Spartanburg County,1,1,0
,,Sumter County,2,2,0
,,Williamsburg County,2,2,0
,Highway Patrol:,Abbeville County,8,8,0
,,Aiken County,18,18,0
,,Allendale County,3,3,0
,,Anderson County,33,33,0
,,Bamberg County,4,4,0
,,Barnwell County,3,3,0
,,Beaufort County,10,10,0
,,Berkeley County,18,18,0
,,Calhoun County,10,10,0
,,Charleston County,46,21,25
,,Cherokee County,9,9,0
,,Chester County,9,9,0
,,Chesterfield County,10,10,0
,,Clarendon County,9,9,0
,,Colleton County,10,10,0
,,Darlington County,13,13,0
,,Dillon County,14,14,0
,,Dorchester County,27,25,2
,,Edgefield County,5,5,0
,,Fairfield County,8,8,0
,,Florence County,64,36,28
,,Georgetown County,18,18,0
,,Greenville County,99,73,26
,,Greenwood County,30,28,2
,,Hampton County,3,3,0
,,Horry County,44,44,0
,,Jasper County,10,10,0
,,Kershaw County,8,8,0
,,Lancaster County,11,11,0
,,Laurens County,11,11,0
,,Lee County,8,8,0
,,Lexington County,30,30,0
,,Marion County,15,15,0
,,Marlboro County,9,9,0
,,McCormick County,4,4,0
,,Newberry County,11,11,0
,,Oconee County,13,13,0
,,Orangeburg County,20,18,2
,,Pickens County,18,18,0
,,Richland County,481,264,217
,,Saluda County,5,5,0
,,Spartanburg County,39,39,0
,,Sumter County,9,9,0
,,Union County,8,8,0
,,Williamsburg County,13,13,0
,,York County,41,39,2
,Santee Cooper,,9,8,1
,South Carolina Division of Public Railways,,1,1,0
,State Museum,,2,1,1
,State Ports Authority,,49,29,20
,State Transport Police:,Abbeville County,2,2,0
,,Aiken County,1,1,0
,,Allendale County,1,1,0
,,Anderson County,3,3,0
,,Beaufort County,4,4,0
,,Charleston County,3,3,0
,,Chesterfield County,2,2,0
,,Colleton County,3,3,0
,,Darlington County,3,2,1
,,Dorchester County,3,2,1
,,Edgefield County,1,1,0
,,Florence County,4,4,0
,,Greenville County,2,2,0
,,Greenwood County,6,6,0
,,Hampton County,1,1,0
,,Kershaw County,3,3,0
,,Laurens County,1,1,0
,,Lexington County,12,10,2
,,Newberry County,3,3,0
,,Oconee County,2,2,0
,,Orangeburg County,4,2,2
,,Pickens County,3,1,2
,,Richland County,26,8,18
,,Saluda County,2,2,0
,,Spartanburg County,5,4,1
,,Sumter County,1,1,0
,,York County,7,7,0
,United States Department of Energy,Savannah River Plant,54,42,12
SOUTH CAROLINA,15th Circuit Drug Enforcement Unit,,4,3,1
,Charleston County Aviation Authority,,55,34,21
,Columbia Metropolitan Airport,,21,21,0
,Greenville Hospital:,Greenville ,27,27,0
,,Laurens,4,4,0
,,Oconee ,2,2,0
,Greenville-Spartanburg International Airport,,20,19,1
,Lexington County Medical Center,,63,25,38
SOUTH DAKOTA,Division of Criminal Investigation,,172,52,120
,South Dakota Highway Patrol,,241,165,76
SOUTH DAKOTA,Cheyenne River Tribal,,78,28,50
,Crow Creek Tribal,,13,8,5
,Flandreau Tribal,,2,2,0
,Lower Brule Tribal,,22,4,18
,Pine Ridge Sioux Tribal,,61,39,22
,Rosebud Tribal,,42,26,16
,Sisseton-Wahpeton Tribal,,17,7,10
,Yankton Tribal,,15,9,6
TENNESSEE,Alcoholic Beverage Commission,,37,36,1
,Department of Correction ,Internal Affairs,66,24,42
,Department of Safety,,"1,326",825,501
,State Fire Marshal,,20,17,3
,State Park Rangers:,Bicentennial Capitol Mall,3,3,0
,,Big Hill Pond,2,2,0
,,Big Ridge,4,4,0
,,Bledsoe Creek,2,2,0
,,Booker T. Washington,3,3,0
,,Burgess Falls Natural Area,5,5,0
,,Cedars of Lebanon,4,4,0
,,Chickasaw,4,4,0
,,Cordell Hull Birthplace,1,1,0
,,Cove Lake,4,4,0
,,Cumberland Mountain,4,4,0
,,Cumberland Trail,8,8,0
,,Cummins Falls,2,2,0
,,David Crockett,4,4,0
,,Davy Crockett Birthplace,2,2,0
,,Dunbar Cave Natural Area,2,2,0
,,Edgar Evins,3,3,0
,,Fall Creek Falls,9,9,0
,,Fort Loudon State Historic Park,4,4,0
,,Fort Pillow State Historic Park,2,2,0
,,Frozen Head Natural Area,3,3,0
,,Harpeth Scenic Rivers,3,3,0
,,Harrison Bay,5,5,0
,,Henry Horton,6,5,1
,,Hiwassee/Ocoee State Scenic Rivers,6,6,0
,,Indian Mountain,2,2,0
,,Johnsonville State Historic Park,2,2,0
,,Long Hunter,4,4,0
,,Meeman-Shelby Forest,5,5,0
,,Montgomery Bell,5,5,0
,,Mousetail Landing,2,2,0
,,Natchez Trace,5,5,0
,,Nathan Bedford Forrest,2,2,0
,,Norris Dam,4,4,0
,,Old Stone Fort State Archaeological Park,2,2,0
,,Panther Creek,3,3,0
,,Paris Landing,4,4,0
,,Pickett,4,4,0
,,Pickwick Landing,5,5,0
,,Pinson Mounds State Archaeological Park,2,2,0
,,Radnor Lake Natural Area,4,4,0
,,Red Clay State Historic Park,2,2,0
,,Reelfoot Lake,4,4,0
,,Roan Mountain,4,4,0
,,Rock Island,4,4,0
,,Rocky Fork,2,2,0
,,Seven Islands Birding Park,2,2,0
,,Sgt. Alvin C. York,1,1,0
,,South Cumberland Recreation Area,9,9,0
,,Standing Stone,4,4,0
,,Sycamore Shoals State Historic Park,2,2,0
,,Tim's Ford,4,4,0
,,T.O. Fuller,3,3,0
,,Warrior's Path,5,5,0
,TennCare Office of Inspector General,,40,16,24
,Tennessee Bureau of Investigation,,513,321,192
,Tennessee Department of Revenue,Special Investigations Unit,49,31,18
,Wildlife Resources Agency:,Region 1,51,47,4
,,Region 2,50,46,4
,,Region 3,48,44,4
,,Region 4,53,49,4
TENNESSEE,Chattanooga Housing Authority,,6,5,1
,Chattanooga Metropolitan Airport,,8,8,0
,Dickson City Park Ranger Division,,2,2,0
,Drug Task Force:,1st Judicial District,3,2,1
,,3rd Judicial District,5,5,0
,,4th Judicial District,3,2,1
,,8th Judicial District,3,2,1
,,9th Judicial District,2,2,0
,,10th Judicial District,8,7,1
,,12th Judicial District,1,1,0
,,14th Judicial District,1,1,0
,,15th Judicial District,2,1,1
,,17th Judicial District,2,2,0
,,18th Judicial District,4,3,1
,,21st Judicial District,8,6,2
,,22nd Judicial District,1,1,0
,,23rd Judicial District,5,4,1
,,24th Judicial District,2,1,1
,,25th Judicial District,2,2,0
,,31st Judicial District,1,1,0
,Knoxville Metropolitan Airport,,46,28,18
,Memphis-Shelby County Airport Authority,,59,47,12
,Metropolitan Nashville Park Police,,17,17,0
,Nashville International Airport,,90,60,30
,Tri-Cities Regional Airport,,15,14,1
,West Tennessee Violent Crime Task Force,,7,6,1
TEXAS,Amarillo International Airport,,13,13,0
,Dallas-Fort Worth International Airport,,206,167,39
,Hospital District:,Dallas County,156,84,72
,,Tarrant County,72,50,22
,Houston Metropolitan Transit Authority,,241,173,68
,Independent School District:,Aldine,62,54,8
,,Alief,47,41,6
,,Alvin,35,29,6
,,Angleton,9,7,2
,,Austin,104,77,27
,,Barbers Hill,6,5,1
,,Bay City,7,6,1
,,Brownsville,139,35,104
,,Calhoun County,2,2,0
,,Cedar Hill,26,6,20
,,Conroe,75,58,17
,,East Central,10,8,2
,,Ector County,30,28,2
,,Edinburg,118,81,37
,,El Paso,54,42,12
,,Floresville,4,3,1
,,Fort Bend,73,52,21
,,Galveston,10,7,3
,,Judson,26,25,1
,,Katy,110,51,59
,,Killeen,14,14,0
,,Klein,66,44,22
,,Lyford,4,4,0
,,Mexia,3,3,0
,,Midland,20,14,6
,,Pasadena,42,35,7
,,Pflugerville,23,23,0
,,Raymondville,9,4,5
,,Santa Fe,9,7,2
,,Santa Rosa,5,3,2
,,Spring,63,55,8
,,Spring Branch,42,33,9
,,United,203,78,125
,Port of Brownsville,,19,12,7
,Port of Houston Authority,,48,46,2
UTAH,Parks and Recreation,,55,54,1
,Utah Highway Patrol,,593,459,134
,Wildlife Resources,,79,77,2
UTAH,Granite School District,,36,29,7
,Utah County Attorney ,Investigations Division,7,5,2
,Utah Transit Authority,,76,67,9
VERMONT,Attorney General,,4,4,0
,Capitol Police,,3,3,0
,Department of Liquor Control,Division of Enforcement and Licensing,21,15,6
,Department of Motor Vehicles,,41,27,14
,Fish and Wildlife Department,Law Enforcement Division,41,39,2
,State Police: ,Derby,17,16,1
,,Middlesex,23,21,2
,,New Haven,18,17,1
,,Royalton,18,16,2
,,Rutland,33,31,2
,,Shaftsbury,16,14,2
,,St. Albans,31,28,3
,,St. Johnsbury,33,32,1
,,Westminster,59,32,27
,,Williston,21,19,2
,Vermont State Police,,28,28,0
,Vermont State Police Headquarters,Bureau of Criminal Investigations,32,32,0
VIRGINIA,Alcoholic Beverage Control Commission,,159,110,49
,Department of Conservation and Recreation,,249,104,145
,Department of Game and Inland Fisheries ,Enforcement Division,183,166,17
,Department of Motor Vehicles,,94,79,15
,State Police,,"2,663","1,932",731
,Virginia State Capitol,,71,60,11
VIRGINIA,Norfolk Airport Authority,,45,37,8
,Port Authority,Norfolk,45,31,14
,Reagan National Airport,,268,217,51
,Richmond International Airport,,34,26,8
WASHINGTON,State Gambling Commission ,Enforcement Unit,97,54,43
,State Insurance Commissioner,Special Investigations Unit,10,6,4
,Washington State Patrol,,"2,131",986,"1,145"
WASHINGTON,Chehalis Tribal,,29,15,14
,Colville Tribal,,39,28,11
,Hoh Tribal,,3,2,1
,Jamestown S'Klallam Tribal,,41,36,5
,Kalispel Tribal,,18,16,2
,La Push Tribal,,4,4,0
,Lower Elwha Klallam Tribal,,13,9,4
,Lummi Tribal,,26,24,2
,Makah Tribal,,15,8,7
,Nisqually Tribal,,17,14,3
,Nooksack Tribal,,10,9,1
,Port Gamble S'Klallam Tribal,,10,10,0
,Puyallup Tribal,,49,28,21
,Quinault Indian Nation,,18,10,8
,Sauk-Suiattle Tribal,,5,3,2
,Shoalwater Bay Tribal,,5,5,0
,Skokomish Tribal,,10,9,1
,Snoqualmie Tribal,,3,3,0
,Spokane Agency,,14,9,5
,Squaxin Island Tribal,,16,13,3
,Stillaguamish Tribal,,8,8,0
,Suquamish Tribal,,21,17,4
,Swinomish Tribal,,16,13,3
,Tulalip Tribal,,54,35,19
,Upper Skagit Tribal,,8,7,1
,Yakama Nation,,55,38,17
WASHINGTON,Port of Seattle,,122,95,27
WEST VIRGINIA,Capitol Protective Services,,41,25,16
,Department of Natural Resources:,Barbour County,1,1,0
,,Berkeley County,1,1,0
,,Boone County,1,1,0
,,Braxton County,2,2,0
,,Brooke County,1,1,0
,,Cabell County,3,3,0
,,Calhoun County,2,2,0
,,Clay County,1,1,0
,,Doddridge County,2,2,0
,,Fayette County,2,2,0
,,Gilmer County,1,1,0
,,Grant County,2,2,0
,,Greenbrier County,3,3,0
,,Hampshire County,7,6,1
,,Hancock County,1,1,0
,,Hardy County,2,2,0
,,Harrison County,2,2,0
,,Jackson County,3,3,0
,,Jefferson County,1,1,0
,,Kanawha County,10,5,5
,,Lewis County,3,3,0
,,Lincoln County,2,2,0
,,Logan County,2,2,0
,,Marion County,5,5,0
,,Marshall County,2,2,0
,,Mason County,2,2,0
,,McDowell County,1,1,0
,,Mercer County,2,2,0
,,Mineral County,1,1,0
,,Mingo County,2,2,0
,,Monongalia County,2,2,0
,,Monroe County,1,1,0
,,Morgan County,1,1,0
,,Nicholas County,3,3,0
,,Ohio County,1,1,0
,,Pendleton County,2,2,0
,,Pleasants County,1,1,0
,,Pocahontas County,1,1,0
,,Preston County,3,3,0
,,Putnam County,7,6,1
,,Raleigh County,6,5,1
,,Randolph County,2,2,0
,,Ritchie County,1,1,0
,,Roane County,1,1,0
,,Summers County,2,2,0
,,Taylor County,1,1,0
,,Tucker County,1,1,0
,,Tyler County,1,1,0
,,Upshur County,4,3,1
,,Wayne County,2,2,0
,,Webster County,1,1,0
,,Wetzel County,1,1,0
,,Wirt County,1,1,0
,,Wood County,6,5,1
,,Wyoming County,4,4,0
,State Fire Marshal,Kanawha County,44,32,12
,"State Police, Bureau of Criminal Investigations:",Beckley,4,4,0
,,Bluefield,2,2,0
,,Buckhannon,2,2,0
,,Charleston,6,5,1
,,Fairmont,10,9,1
,,Martinsburg,7,6,1
,"State Police, Parkway Authority:",Kanawha County,32,30,2
,,Mercer County,9,9,0
,,Raleigh County,12,12,0
,State Police:,Beckley,33,19,14
,,Berkeley Springs,5,4,1
,,Bridgeport,11,10,1
,,Buckhannon,7,6,1
,,Clay,8,7,1
,,Elizabeth,5,4,1
,,Elkins,31,16,15
,,Fairmont,8,7,1
,,Franklin,6,5,1
,,Gauley Bridge,4,3,1
,,Glenville,8,6,2
,,Grafton,4,3,1
,,Grantsville,6,5,1
,,Hamlin,14,13,1
,,Harrisville,6,5,1
,,Headquarters,443,203,240
,,Hinton,4,3,1
,,Hundred,3,2,1
,,Huntington,20,14,6
,,Internet Crimes Against Children Unit,30,21,9
,,Jesse,6,5,1
,,Kearneysville,21,14,7
,,Keyser,10,9,1
,,Kingwood,8,7,1
,,Lewisburg,9,8,1
,,Logan,24,16,8
,,Madison,9,8,1
,,Marlinton,5,4,1
,,Martinsburg,26,24,2
,,Moorefield,9,8,1
,,Morgantown,20,18,2
,,Moundsville,17,9,8
,,New Cumberland,5,4,1
,,Oak Hill,7,6,1
,,Paden City,5,4,1
,,Parkersburg,19,12,7
,,Parsons,5,4,1
,,Philippi,5,4,1
,,Point Pleasant,7,6,1
,,Princeton,21,19,2
,,Quincy,13,12,1
,,Rainelle,5,4,1
,,Richwood,7,6,1
,,Ripley,7,6,1
,,Romney,18,7,11
,,South Charleston,27,19,8
,,Spencer,7,6,1
,,St. Marys,5,4,1
,,Summersville,6,5,1
,,Sutton,10,9,1
,,Union,6,5,1
,,Upperglade,8,7,1
,,Wayne,10,9,1
,,Welch,10,9,1
,,Wellsburg,5,4,1
,,Weston,7,6,1
,,West Union,5,3,2
,,Wheeling,8,7,1
,,Whitesville,5,4,1
,,Williamson,12,10,2
,,Winfield,6,5,1
WEST VIRGINIA,Central West Virginia Drug Task Force,,2,2,0
,Eastern Panhandle Drug and Violent Crime Task Force,,12,11,1
,Greenbrier County Drug and Violent Crime Task Force,,4,3,1
,Hancock/Brooke/Weirton Drug Task Force,,6,6,0
,Harrison County Drug and Violent Crime Task Force,,7,7,0
,Huntington Drug and Violent Crime Task Force,,4,3,1
,Kanawha County Parks and Recreation,,3,3,0
,Logan County Drug and Violent Crime Task Force,,5,4,1
,Metropolitan Drug Enforcement Network Team,,14,12,2
,Mon Valley Drug Task Force,,4,4,0
,Ohio Valley Drug and Violent Crime Task Force,,5,5,0
,Parkersburg Narcotics and Violent Crime Task Force,,7,7,0
,Potomac Highlands Drug and Violent Crime Task Force,,3,3,0
,Southern Regional Drug and Violent Crime Task Force,,9,8,1
,Three Rivers Drug and Violent Crime Task Force,,2,2,0
WISCONSIN,Capitol Police,,51,40,11
,Department of Natural Resources,,411,338,73
,Wisconsin State Patrol,,651,487,164
WISCONSIN,Bad River Tribal,,4,3,1
,Lac du Flambeau Tribal,,15,13,2
,Menominee Tribal,,30,24,6
,Oneida Tribal,,29,22,7
,Red Cliff Tribal,,6,5,1
,St. Croix Tribal,,11,8,3
,Stockbridge Munsee Tribal,,6,6,0
WYOMING,Wind River Agency,,27,21,6
